"Geregistreerde criminaliteit; soort misdrijf, 1999-2007"
"";"Onderwerpen";"Misdrijven";"Per 100 000 inw. 12-79 jaar"
"";"Onderwerpen";"Totaal geregistreerd";"Misdrijven"
"";"Onderwerpen";"Totaal geregistreerd";"Totaal geregistreerd"
"Soort misdrijf";"Perioden";"aantal";"per 100 000 inwoners van 12-79 jaar"
"Soort misdrijf totaal";"1999";"1303446";"10098"
"Soort misdrijf totaal";"2000";"1328909";"10230"
"Soort misdrijf totaal";"2001";"1379454";"10551"
"Soort misdrijf totaal";"2002";"1401871";"10654"
"Soort misdrijf totaal";"2003";"1369271";"10346"
"Soort misdrijf totaal";"2004";"1319482";"9928"
"Soort misdrijf totaal";"2005";"1255079";"9412"
"Soort misdrijf totaal";"2006";"1218447";"9115"
"Soort misdrijf totaal";"2007";"1214503";"9065"
"Wetboek van Strafrecht totaal";"1999";"1159539";"8983"
"Wetboek van Strafrecht totaal";"2000";"1183623";"9111"
"Wetboek van Strafrecht totaal";"2001";"1223521";"9358"
"Wetboek van Strafrecht totaal";"2002";"1238590";"9413"
"Wetboek van Strafrecht totaal";"2003";"1189602";"8988"
"Wetboek van Strafrecht totaal";"2004";"1139473";"8573"
"Wetboek van Strafrecht totaal";"2005";"1076475";"8073"
"Wetboek van Strafrecht totaal";"2006";"1039192";"7774"
"Wetboek van Strafrecht totaal";"2007";"1031967";"7703"
"Geweldsmisdrijven totaal";"1999";"87132";"675"
"Geweldsmisdrijven totaal";"2000";"91738";"706"
"Geweldsmisdrijven totaal";"2001";"101320";"775"
"Geweldsmisdrijven totaal";"2002";"104336";"793"
"Geweldsmisdrijven totaal";"2003";"106410";"804"
"Geweldsmisdrijven totaal";"2004";"109887";"827"
"Geweldsmisdrijven totaal";"2005";"110509";"829"
"Geweldsmisdrijven totaal";"2006";"109154";"817"
"Geweldsmisdrijven totaal";"2007";"111888";"835"
"Verkrachting";"1999";"1805";"14"
"Verkrachting";"2000";"1672";"13"
"Verkrachting";"2001";"1719";"13"
"Verkrachting";"2002";"1600";"12"
"Verkrachting";"2003";"1477";"11"
"Verkrachting";"2004";"1578";"12"
"Verkrachting";"2005";"1540";"12"
"Verkrachting";"2006";"1434";"11"
"Verkrachting";"2007";"1267";"9"
"Feitelijke aanranding der eerbaarheid";"1999";"2977";"23"
"Feitelijke aanranding der eerbaarheid";"2000";"2918";"22"
"Feitelijke aanranding der eerbaarheid";"2001";"2847";"22"
"Feitelijke aanranding der eerbaarheid";"2002";"2584";"20"
"Feitelijke aanranding der eerbaarheid";"2003";"2724";"21"
"Feitelijke aanranding der eerbaarheid";"2004";"2513";"19"
"Feitelijke aanranding der eerbaarheid";"2005";"2560";"19"
"Feitelijke aanranding der eerbaarheid";"2006";"2432";"18"
"Feitelijke aanranding der eerbaarheid";"2007";"2192";"16"
