"Geregistreerde criminaliteit; soort misdrijf, regio"
"";"Onderwerpen";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Geregistreerde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven";"Opgehelderde misdrijven"
"";"Onderwerpen";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal geregistreerde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven";"Totaal opgehelderde misdrijven"
"";"Perioden";"2010";"2011";"2012";"2013";"2014";"2015*";"2016*";"2010";"2011";"2012";"2013";"2014";"2015*";"2016*"
"Regio's";"Soort misdrijf";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"Misdrijven, totaal";"1200825";"1206565";"1154950";"1105565";"1025630";"978730";"928870";"331305";"326680";"308410";"289665";"271355";"246995";"210815"
"Nederland";"2 Vernielingen, misdr.openb.orde/gezag";"185955";"182190";"162415";"141135";"135400";"122575";"115505";"42975";"39855";"32615";"28220";"27715";"24650";"22025"
"Nederland";"2.1 Vernieling en beschadiging";"151155";"148570";"133515";"117920";"109995";"101845";"94530";"18480";"17095";"15975";"14290";"13570";"12640";"10515"
"Nederland";"2.1.1 Vernieling aan auto";"69950";"67740";"60440";"54615";"50215";"47705";"43910";"5385";"4935";"4750";"4075";"3970";"3670";"2905"
"Nederland";"2.1.2 Vernieling aan openbaar gebouw";"11790";"8255";"2285";"2015";"1775";"1455";"1365";"940";"745";"555";"520";"490";"445";"390"
"Nederland";"2.1.3 Vernieling middel openb.vervoer";"2000";"2305";"2095";"1040";"925";"820";"1100";"360";"305";"245";"175";"140";"145";"150"
"Nederland";"2.1.4 Dierenmishandeling";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
